,Fecha,Medio,Tipo de medio,Título,Resumen,Alcance
0,2025-05-20,Superchannel 12 XHPNW COAH (Sitio),Portales Estatales,"¿Quién era Ximena Guzmán, secretaria particular de Brugada asesinada en CDMX?","Ciudad de México; 20 de mayo.- Esta mañana se informó sobre el asesinato de la secretaria particular de la Jefa de Gobierno de la CDMX, Clara Brugada, se trata Ximena Guzmán Cuevas, en un ataque directo sobre la Calzada de Tlalpan, en la alcaldía Benito Juárez, hecho donde también murió el asesor José Muñoz.",111000
1,2025-05-20,La Silla Rota (sitio),Portales Nacionales,Ximena Guzmán ¿quién era la secretaria particular de Clara Brugada?,"Ximena Guzmán se desempeñaba como secretaria particular de la jefa de Gobierno de la Ciudad de México, Clara Brugada. Fue asesinada este 20 de mayo en un ataque directo, al igual que José Muñoz. asesor de la mandataria capitalina.",383000
2,2025-05-20,La Silla Rota (sitio),Portales Nacionales,Desafía el crimen a gobierno de Brugada; indignación por atentado,"Ximena Guzmán, secretaria particular de la jefa de Gobierno, Clara Brugada, fue ejecutada esta mañana, sobre Calzada de Tlalpan y la calle Napoleón, a la altura del Metro Xola, en la alcaldía Benito Juárez.",383000
3,2025-05-20,El Heraldo Estado de México (sitio),Portales Estatales,"Conmoción en la CDMX: Matan a tiros a Ximena Guzmán, secretaria particular de Jefa de Gobierno Clara Brugada hoy 20 de mayo","La mañana de este martes 20 de junio del 2025, Ximena Guzmán, secretaria particular, y José Muñoz, asesor de la Jefa de Gobierno Clara Brugada fueron asesinados en un ataque directo abordo de un vehículo cuando circulaban sobre la Calzada de Tlalpan, en la Ciudad de México.",4000
4,2025-05-20,Luz Noticias SIN (sitio),Portales Estatales,Momento exacto donde le avisan Sheinbaum sobre el asesinato de la secretaria de Clara Brugada | VIDEO,"La mañana de este martes la jefa de Gobierno de la Ciudad de México, Clara Brugada, confirmó el asesinato de su secretaria particular, Ximena Guzmán, y su asesor, José Muñoz, en un ataque directo ocurrido en la Calzada de Tlalpan, cerca del Metro Xola, en la colonia Moderna de la alcaldía Benito Juárez.",69300
5,2025-05-20,Noticias de Tampico TAMS (sitio),Portales Estatales,La UAT suma 12 medallas en campeonatos nacionales de ANUIES 2025,"Ciudad Victoria, Tam., 20 de mayo de 2025.- Con el firme respaldo del rector Dámaso Anaya Alvarado, la Universidad Autónoma de Tamaulipas (UAT) ha superado las medallas obtenidas en la Universiada Nacional 2024, al sumar hasta el momento 12 preseas (3 de oro, 3 de plata y 6 de bronce) en los Campeonatos Nacionales ANUIES 2025.",15000
6,2025-05-20,Ahora Tabasco TAB (sitio),Portales Estatales,"¿Quién fue Ximena Guzmán?, secretaria de Clara Brugada asesinada","La mañana del martes 20 de mayo de 2025, la Ciudad de México registró un hecho violento que conmocionó al entorno político local. Ximena Josefina Guzmán Cuevas, secretaria particular de la jefa de Gobierno, Clara Brugada, fue asesinada junto a su compañero de trabajo, José Muñoz, asesor del mismo equipo, en un ataque directo ocurrido en la colonia Moderna, alcaldía Benito Juárez.",26600
7,2025-05-20,Voces y Jarillas EDO.MEX (Sitio),Portales Estatales,"Asesinan colaboradores cercanos de Clara Brugada en ataque directo en Av. Tlalpan, CDMX","Luego de confirmar el hecho, durante su conferencia de prensa matutina, la presidenta Claudia Sheinbaum Pardo leyó íntegramente la tarjeta difundida por Clara Brugada y al final comentó que le daban su apoyo incondicional a la jefa de Gobierno y la solidaridad con la familia de las personas asesinadas.",4000
8,2025-05-20,El Debate SIN (sitio),Portales Estatales,"Viajera y amante del precipicio': Así era Ximena Guzmán, secretaria particular de Clara Brugada, asesinada en Tlalpan","""Socióloga del deporte, corredora de ida y de regreso, experimentando en la bici, viajera y amante del precipicio"", así era como se describía así misma Ximena Guzmán Cuevas, secretaria particular de Clara Brugada, quien lamentablemente perdió la vida esta mañana durante un ataque armado directo por sicarios abordo de una motocicleta en Tlalpan, Ciudad de México.",23300000
9,2025-05-20,Contralínea,Semanario Político,¿Quién financia al sector público?,"L ¿QUIÉN FINANCIA AL SECTOR PÚBLICO? CAROLINA HERNÁNDEZ CALVARIO LICENCIADAY DOCTORA EN ECONOMÍA POR LA FACULTAD DE ECONOMÍA DE LA UNAM: MAESTRA EN ESTUDIOS LATINOAMERICANOS POR LA FACULTAD DE FILOSOFÍAY LETRAS (UNAM). PROFESORA INVESTIGADORA DE LA UAM-IZTAPALAPA su CAMPO DE ESPECIALIZACIÓN ES EN ECONOMÍA POLÍTICA a historia del surgimiento de los bancos centrales posee una característica difícil de ignorar, y es que éstos se crearon en coyunturas económicas enmarcadas en procesos de transformación social (Goodhart, 1988).",
