Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Fecha,Medio,Título,Resumen
2025-06-12 00:00:00,Periodismo y Ambiente CDMX (sitio),Repensando el plástico: educación y acción para un futuro sostenible,"La contaminación plástica se ha convertido en una crisis ambiental de proporciones alarmantes, su impacto se extiende desde los ecosistemas marinos hasta la salud humana, afectando la biodiversidad y alterando procesos naturales esenciales para la vida en el planeta y, a pesar de esfuerzos legislativos y campañas de concienciación, la producción y el consumo de plásticos continúa, lo que exige una respuesta urgente y coordinada a nivel global."
2025-06-12 00:00:00,Publimetro (sitio),Revisa las alternativas viales y calles afectadas por marchas en CDMX hoy jueves 12 de junio,Para hoy se esperan diferentes manifestaciones y movilizaciones en la Ciudad de México; te compartimos qué hora y en dónde serán
2025-06-12 00:00:00,Milenio Diario,Fulgor y sombra de un museo,Carlos Pallán Figueroa Ex secretario general ejecutivo de la Anuies capafi2@ hotmail.com.
2025-06-12 00:00:00,Callejero PUE (Sitio),Ayuntamiento de Coronango concreta convenio con la UAM Azcapotzalco,"Coronango, Pue.- El Ayuntamiento de Coronango, encabezado por el alcalde Armando Aguirre, y la Universidad Autónoma Metropolitana, unidad Azcapotzalco (UAM-A), sumaron esfuerzos para la creación de un Centro de Innovación, Cultura y Tecnología en el municipio."
2025-06-11 00:00:00,Metro,Responsabilizarse de la basura,La separación de la basura es una de las deudas de la ciudadanía con el medio ambiente.
2025-06-10 00:00:00,Comunicadores SON (sitio),Maternidad no es obstáculo para seguir estudiando,"La investigación, sustentada en la experiencia y testimonios de estudiantes, docentes e investigadoras, visibiliza las realidades poco atendidas de quienes ejercen la crianza durante una etapa clave en su desarrollo profesional."
2025-06-10 00:00:00,Reforma,Responsabilizarse de la basura,La separación de la basura es una de las deudas de la ciudadanía con el medio ambiente.
2025-06-10 00:00:00,Otras Voces en Educación MX (sitio),La CNTE deja el Zócalo,La CNTE deja el Zócalo
2025-06-09 00:00:00,Maremoto Maristain (Sitio),"En este país la osadía literaria se castiga con silencio, dice Gonzalo Martré, creador de Fantomas","Es una lástima que se conozca mejor a Martré por sus contribuciones a la ciencia ficción y la novela negra que como sátiro. Su versión de Fantomas a la mexicana despertaría gran interés entre los franceses que idolatraron a principios de siglo XX al famoso enmascarado y al que incluso revivieron en la serie Lupin. A sus 98 años ""y ya sintiendo pasos en la azotea"" el prolífico escritor Martré, alias el ingeniero químico Mario Trejo, recuerda todos esos momentos en su casa de la Sinatel..."
2025-06-09 00:00:00,Somos Comunidad CDMX (sitio),Gestión de residuos: un desafío colectivo en tiempos complejos,Por: Cecilia Perezgasga Ciscomani
2025-06-09 00:00:00,UAM CDMX (Sitio),Arranca el Mes de los de la Casa en la Unidad Lerma de la UAM,"La iniciativa fortalece el sentido de pertenencia y compromiso dentro de nuestra comunidad, afirmó Gabriel Soto Cortés, rector de la Unidad Lerma"
