Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Fecha,Medio,Título,Resumen
2025-06-12 00:00:00,El Gráfico (Sitio),Tráfico CDMX HOY 12 de Junio: ¿Qué marchas afectarán la vialidad?,"Este jueves se esperan al menos siete manifestaciones en diferentes puntos clave de la Ciudad de México, además de eventos masivos en recintos como el Auditorio Nacional y la Arena CDMX, todo en medio de una jornada con lluvias pronosticadas desde la tarde. Si vas a salir, toma precauciones y revisa tus rutas para evitar contratiempos."
2025-06-12 00:00:00,Excélsior (Sitio),Marchas y protestas HOY jueves 12 junio CDMX; aquí alternativas viales,"Este jueves 12 de junio se tienen contempladas varias marchas, manifestaciones, protestas y movilizaciones, estas serán a lo largo y ancho de la Ciudad de México por diversos grupos, para evitar contratiempos aquí te dejamos las opciones viales"
2025-06-12 00:00:00,News Report MX (Sitio),Manifestaciones hoy en CDMX 12 de junio del 2025,¡Toma precauciones! Checa dónde y a qué hora habrá Marchas y Manifestaciones hoy en CDMX 12 de junio de 2025
2025-06-12 00:00:00,Pasantes DF CDMX (Sitio),Marchas HOY jueves 12 de junio de 2025 en CDMX: Manifestaciones y ALTERNATIVAS,"Como parte de la información que necesitas para iniciar tu rutina de este jueves 12 de junio, te compartimos las marchas y manifestaciones que se prevén. Estos bloqueos pueden causar cortes viales a la circulación y complicaciones en los trayectos de los habitantes de la Ciudad de México."
2025-06-12 00:00:00,Noticias MVS (Sitio),"Marchas y bloqueos en CDMX hoy: Trabajadores del TSJ-CDMX, estudiantes y colectivos saldrán a las calles","Este miércoles 12 de junio, la Ciudad de México vivirá una jornada de intensas movilizaciones sociales, donde trabajadores, estudiantes y colectivos alzarán la voz por mejores condiciones laborales, justicia social y reformas estructurales. Conoce las rutas que estarán bloqueadas así como sus alternativas viales."
2025-06-12 00:00:00,El Heraldo de México (sitio),Marchas HOY jueves 12 de junio de 2025 en CDMX: Manifestaciones y ALTERNATIVAS,"Como parte de la información que necesitas para iniciar tu rutina de este jueves 12 de junio, te compartimos las marchas y manifestaciones que se prevén. Estos bloqueos pueden causar cortes viales a la circulación y complicaciones en los trayectos de los habitantes de la Ciudad de México."
2025-06-12 00:00:00,Publimetro (sitio),Revisa las alternativas viales y calles afectadas por marchas en CDMX hoy jueves 12 de junio,Para hoy se esperan diferentes manifestaciones y movilizaciones en la Ciudad de México; te compartimos qué hora y en dónde serán
2025-06-12 00:00:00,Uno TV Noticias (Sitio),"Movilizaciones en CDMX, hoy 12 de junio: marchas y concentraciones",La Ciudad de México (CDMX) espera este jueves 12 de junio múltiples movilizaciones sociales que podrían generar afectaciones viales.
2025-06-12 00:00:00,La Jornada,Cocodrilos pone sobre la mesa temas complejos y dolorosos: Arcelia Ramirez,"JUAN CARLOS G. PARTIDA CORRESPONSAL ZAPOPAN, JAL. ..."
2025-06-12 00:00:00,La Jornada,Tv UNAM (Programación),"12 14:30 Jueves de junio La UNAM responde Con Rosa Brizuela El análisis de los temas sociales, culturales, económicos y científicos desde la Universidad Nacional 19:30 CIENCIA Y TECNOLOGÍA: H20. LA MOLÉCULA QUE NOS HIZO Civilizaciones Una investigación sobre la molécula del agua, sus orígenesy el momento en el que se convirtió en un elemento indispensable 20:30 UNAMirada Con Viridiana Mondragón Revista informativa con lo más destacado de la vida universitaria en áreas de ciencia, innovación tecnológica, cultura, deportesy humanidades 21:00 MEDIA 20.1 Reflexiones críticas sobre el impacto de la tecnología Con Gabriel Sosa Plata Invitado: Marco Antonio Millán, profesor e investigador de la UAM-Cuajimalpa 22:00 TIEMPO DE FILMOTECA UNAM: CINE MEXICANO Azul intangible (México, 2012) De Eréndira Valle tvunam K ulturaunam .unam."
2025-06-12 00:00:00,La Crónica de Hoy,Tv UNAM (Programación),"12 14:30 20:30 21:00 Jueves de junio La UNAM responde Con Rosa Brizuela El análisis de los temas sociales, culturales. económicos y científicos desde la Universidad Nacional 19:30 CIENCIA Y TECNOLOGÍA: H20. LA MOLÉCULA QUE NOS HIZO Civilizaciones Una investigación sobre la molécula del agua, sus orígenes y el momento en el que se convirtió en un elemento indispensable UNAMirada Con Viridiana Mondragón Revista informativa con lo más destacado de la vida universitaria en áreas de ciencia, innovación tecnológica, cultura, deportes y humanidades MEDIA 20.1 Reflexiones críticas sobre el impacto de la tecnología Con Gabriel Sosa Plata Azul intangible (México, 2012) De Eréndira Valle tvunam Invitado: Marco Antonio Millán, profesor e investigador de la UAM-Cuajimalpa 22:00 TIEMPO DE FILMOTECA UNAM: CINE MEXICANO KO culturaunam v.unam.m: Media 20.1: Marco Antonio Millán O d J H20."
2025-06-11 00:00:00,La Jornada,"Relevo en la rectoría de la UAM, en riesgo de pactarse tras bambalinas: académica","A pocos días de comenzar el proceso de renovación de la rectoría en la Universidad Autónoma Metropolitana (UAM), la doctora Noemí Luján Ponce, profesora investigadora del Departamento de Relaciones Sociales de la Unidad Xochimilco, sostuvo que el cambio ""corre el riesgo de resolverse tras bambalinas y al margen de la comunidad""."
2025-06-10 00:00:00,UAM CDMX (Sitio),"Fortalecer calidad de oferta educativa e interdisciplina, retos de la nueva administración en la Unidad Cuajimalpa - Boletines","Mauricio Sales Cruz, rector de esa sede, fue entrevistado en Voces de la UAM, programa que transmite la radiodifusora de esta casa de estudios"
