Fecha,Medio,Título,Resumen
2025-06-12,Periodismo y Ambiente CDMX (sitio),El Internet de las Cosas Médicas aporta información sobre el estado de salud del paciente en tiempo real,"El Internet de las Cosas (IoT por sus siglas en inglés) ha transformado ""la forma en que vivimos y trabajamos, haciendo que los objetos que utilizamos sean más inteligentes y eficientes"", dijo el doctor José Francisco Rodríguez Arellano, gestor de proyectos de IoT, que formó parte de la XXVI Semana de Ingeniería Eléctrica celebrada en la Unidad Iztapalapa de la Universidad Autónoma Metropolitana (UAM)."
2025-06-12,Reforma.com (sitio),"Llaman a proteger chinampas, 'tesoro de México'","La declaratoria capitalina que reconoce como patrimonio biocultural las terrazas agrícolas de las zonas cerriles de Xochimilco, Tláhuac, Milpa Alta e Iztapalapa constituye una responsabilidad, no un premio, advirtió Fernando Chiapa, investigador de la Universidad Autónoma Metropolitana (UAM)."
2025-06-12,CHIS Diario de Chiapas,Sistema de cómputo operó con transparencia,La evaluación tuvo como propósito verificar que el sistema no incorpora mecanismos que pudieran alterar o manipular los resultados electorales.
2025-06-12,AGS La Jornada Aguascalientes,"Sistema de cómputos para la elección judicial operó con transparencia, integridad y legalidad",Especialistas en ingeniería y software validaron técnicamente el sistema durante los nueve días de operación.
2025-06-12,Hoja de Ruta (Sitio),"Sistema de cómputos del INE para la elección Judicial operó con transparencia, integridad y legalidad: UAM Iztapalapa",Especialistas en ingeniería y software validaron técnicamente el sistema durante los nueve días de operación
2025-06-12,El Heraldo de México,Avalan proceso de cómputo,La universidad determinó que el sistema del INE operó con integridad y legalidad
2025-06-11,La Jornada AGS (sitio),"Sistema de cómputos para la elección Judicial operó con transparencia, integridad y legalidad: UAM Iztapalapa",Especialistas en ingeniería y software validaron técnicamente el sistema durante los nueve días de operación
2025-06-11,Canal Justicia TV,La evaluación técnica de la UAM Iztapalapa sobre los cómputos distritales del INE garantizó la veracidad de los resultados.,"Citlali Pérez, representante del Canal del Poder Judicial de la Federación, destacó la evaluación técnica realizada por la Universidad Autónoma Metropolitana (UAM) campus Iztapalapa sobre los cómputos distritales de la elección judicial, realizada por el Instituto Nacional Electoral (INE). 
 
 Pérez subrayó que esta evaluación se llevó a cabo con estricto apego a los principios de transparencia, integridad y legalidad, asegurando la veracidad de los resultados. 
 
 Los especialistas en informática verificaron la ausencia de mecanismos en el sistema que pudieran alterar o manipular los resultados electorales. 
 
 La revisión incluyó la confirmación de que el sistema utilizado el 1 de junio era el mismo evaluado previamente, abarcando la funcionalidad del sistema, pruebas de seguridad informática y análisis de código. 
 
 Este proceso reafirma el compromiso del INE con la legalidad, imparcialidad y transparencia en los procesos electorales."
2025-06-11,La Jornada (sitio),Sistema de cómputos del INE operó con total transparencia en elección judicial: UAM-I,Ciudadanos emiten su voto durante la elección judicial. Foto Germán Canseco / Archivo
2025-06-11,México Informa (Sitio),Sistema de cómputos del INE para elección Judicial operó con transparencia: UAM Iztapalapa,"El sistema que utilizó el Instituto Nacional Electoral (INE) para dar a conocer los cómputos distritales del Proceso Electoral Extraordinario para la elección de diversos cargos del Poder Judicial de la Federación (PEEPJF) 2024-2025, operó con total apego a los principios de transparencia, integridad y legalidad, garantizando la trazabilidad completa de cada operación realizada y la veracidad de los resultados generados."
2025-06-11,Contralínea (Sitio),Economía y guerra,"El tema de la guerra no es ni puede ser algo ajeno a la clase trabajadora. La solidaridad de clase debe existir en tiempos de paz y reforzarse en tiempos como los que ahora se viven pues, aunque los conflicos bélicos en los últimos dos siglos han sido generalmente expresión de competencias intercapitalistas, el dolor y los muertos los hemos puesto nosotros. De ahí que en estas líneas se busca aportar a la comprensión de la lógica impulsora de un sistema imperialista que tiene como modo de producción al capitalismo, y como estrategia de acumulación la violencia y la guerra."
2025-06-11,Dossier de Prensa CDMX (sitio),Impulsa Concanaco el liderazgo universitario en la UAM Iztapalapa,"En línea con su compromiso de impulsar el talento joven y fortalecer el ecosistema empresarial desde las aulas, el presidente de la Confederación de Cámaras Nacionales de Comercio, Servicios y Turismo (CONCANACO SERVYTUR MÉXICO), Dr. Octavio de la Torre de Stéffano, ofreció una charla magistral sobre Liderazgo Empresarial a estudiantes de la Universidad Autónoma Metropolitana, Unidad Iztapalapa (UAM-I)."
2025-06-11,Talla Política CDMX (Sitio),"Sistema de cómputos del INE para la elección Judicial operó con transparencia, integridad y legalidad: UAM Iztapalapa","Ciudad de México, 11 de junio de 2025"
2025-06-11,Central Electoral (sitio),"Sistema de cómputos del INE para la elección Judicial operó con transparencia, integridad y legalidad: UAM Iztapalapa",Número: 210
2025-06-11,Ovaciones (sitio),Validan especialistas integridad del sistema de resultados de cómputos distritales,"Especialistas en ingeniería de software y seguridad informática de la UAM, verificaron que el sistema con el que se dio a conocer el resultado de los cómputos distritales de las elecciones judiciales no incorporara mecanismos que pudieran alterar o manipular los resultados electorales."
2025-06-11,UAM CDMX (Sitio),El Internet de las Cosas Médicas aporta información sobre el estado de salud del paciente en tiempo real,Permite realizar un seguimiento personalizado del paciente y corregir tratamientos en forma inmediata
2025-06-10,NewsWeek México (Sitio),Estudiantes de Aguascalientes triunfan en Torneo Mexicano de Robótica,"El equipo UP Robotics, conformado por estudiantes de diversas ingenierías de la Universidad Panamericana campus Aguascalientes, participó con éxito en el Torneo Mexicano de Robótica (TMR) 2025, realizado en las instalaciones de la Universidad Autónoma Metropolitana (UAM), campus Iztapalapa, en la Ciudad de México, donde ganaron el tercer lugar."
2025-06-10,UAM CDMX (Sitio),"Fortalecer calidad de oferta educativa e interdisciplina, retos de la nueva administración en la Unidad Cuajimalpa - Boletines","Mauricio Sales Cruz, rector de esa sede, fue entrevistado en Voces de la UAM, programa que transmite la radiodifusora de esta casa de estudios"
2025-06-10,N+ CDMX (sitio),¿A Dónde Va Mi Basura?,"Una esquina, a un costado de un poste, decenas de bolsas, botellas, cascajo, aparatos electrónicos viejos. Es una postal común en las colonias populares de la Ciudad de México, una de las urbes más grandes del mundo."
2025-06-10,Otras Voces en Educación MX (sitio),La CNTE deja el Zócalo,La CNTE deja el Zócalo
2025-06-10,#NAME?,La CDMX estrena otra nueva línea de Trolebús,"Te contamos todo lo que hay que saber sobre sus rutas, conexiones con otros transportes, costo y horarios."
2025-06-09,Panorama Universitario,Librero // Reflexiones en torno a la importancia de la capacitación pedagógica para el profesorado sin formación docente del Tecnológico Nacional de México,Reflexiones en torno a la importancia de la capacitación pedagógica para el profesorado sin formación docente del Tecnológico Nacional de México.
2025-06-09,Somos Comunidad CDMX (sitio),Gestión de residuos: un desafío colectivo en tiempos complejos,Por: Cecilia Perezgasga Ciscomani
2025-06-09,UAM CDMX (Sitio),Celebran la trayectoria del doctor Óscar Monroy Hermosillo,En el marco de la entrega del Premio Christopher Augur fue reconocida la labor del ex rector de la Unidad Iztapalapa de la UAM
2025-06-09,UAM CDMX (Sitio),Arranca el Mes de los de la Casa en la Unidad Lerma de la UAM,"La iniciativa fortalece el sentido de pertenencia y compromiso dentro de nuestra comunidad, afirmó Gabriel Soto Cortés, rector de la Unidad Lerma"
2025-06-09,La Jornada,UAM estima elevar 11.8% admisión sin examen a egresados del Colbach: rector,PREVÉ UNA SUCESORA EN SU CARGO
2025-06-09,ContraRéplica,Inicia operaciones Línea 13 del Trolebús,CONECTA CONSTITUCIÓN DE 1917 con Mixcoac y beneficiará a 36 mil usuarios.
2025-06-09,Publimetro,Falta de cultura vial complica arranque de L13 del Trolebús,"Autos, motos y microbuses entorpecen recorrido de la nueva línea de transporte en Eje la circulación del trolebús sufrió demoras por automóviles que se estacionan en el carril confinado."
