Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Fecha,Medio,Título,Resumen
2025-06-10 00:00:00,UAM CDMX (Sitio),"Fortalecer calidad de oferta educativa e interdisciplina, retos de la nueva administración en la Unidad Cuajimalpa - Boletines","Mauricio Sales Cruz, rector de esa sede, fue entrevistado en Voces de la UAM, programa que transmite la radiodifusora de esta casa de estudios"
2025-06-10 00:00:00,Canal 34 Mexiquense,"El investigador Óscar Diego Bautista ofreció la conferencia ""Ética en el servicio público"" en la UAM Lerma.","Óscar Diego Bautista, investigador del Centro de Investigación en Ciencias Sociales y Humanidades, impartió la conferencia ""Ética en el servicio público"" en la Universidad Autónoma Metropolitana, unidad Lerma. 
 
 El evento, que congregó a estudiantes, docentes y servidores públicos del Ayuntamiento de Lerma, se centró en la importancia de la integridad y responsabilidad en el ejercicio público. 
 
 Durante la conferencia, se presentaron los cuadernos de ética, diseñados para promover la formación de servidores públicos comprometidos con su vocación. Bautista destacó la misión del proyecto: rescatar la ética en el servicio público mediante la enseñanza y reafirmación de los valores esenciales que deben guiar a todo servidor."
2025-06-09 00:00:00,UAM CDMX (Sitio),Arranca el Mes de los de la Casa en la Unidad Lerma de la UAM,"La iniciativa fortalece el sentido de pertenencia y compromiso dentro de nuestra comunidad, afirmó Gabriel Soto Cortés, rector de la Unidad Lerma"
2025-06-09 00:00:00,La Jornada,UAM estima elevar 11.8% admisión sin examen a egresados del Colbach: rector,PREVÉ UNA SUCESORA EN SU CARGO
2025-06-09 00:00:00,EDO.MEX Voces,Temoaya impulsa la conciencia ambiental y la lectura,"a presidenta municipal de Temoaya, Berenice Carrillo Macario, encabezó la Feria del Día Mundial del Medio Ambiente en la Plaza Cívica Miguel Hidalgo. Este evento tuvo un doble significado al integrar simultáneamente el programa ""Libro Bús"", en coordinación con el Fondo de Cultura Económica y Educal."
2025-06-09 00:00:00,Poder EDO.MEX (sitio),Abrieron convocatoria para elegir al nuevo Rector General de la UAM,"La Junta Directiva de la Universidad Autónoma Metropolitana (UAM) ha abierto el proceso de selección para la persona que ocupará la Rectoría General durante el periodo 2025-2029, en cumplimiento de la Ley Orgánica de la Universidad y su Reglamento, dado que el próximo 3 de julio de 2025 concluirá la gestión del actual Rector General, doctor José Antonio De los Reyes Heredia."
2025-06-07 00:00:00,EDO.MEX Milenio Edo. México,Así eligen a su Rector las 10 mejores universidades del país,"Las diferencias son arraigadas en el ejercicio de los recursos, la matrícula de estudiantes yen el ranking de las instituciones educativas, pero todas ellas cuentan con elecciones similares."
2025-06-06 00:00:00,Heraldo Binario CDMX (sitio),UAM busca nueva titular de rectoría: requisitos y fechas clave para participar,"Ante el fin de la gestión del doctor José Antonio De los Reyes Heredia como rector general de la Universidad Autónoma Metropolitana (UAM), la casa de estudios lanzó la convocatoria para nombrar a la persona que este al frente de esta institución educativa."
2025-06-06 00:00:00,EdoMex 99.7 Uniradio,"Teaser, Criterio Noticias","- Alumnos, docentes y administrativos de la Facultad de Medicina de la Universidad Autónoma del Estado de México realizaron una marcha pacífica en protesta por el paro de actividades. La asamblea estudiantil defendió su derecho a protestar debido a las afectaciones causadas por lluvias intensas.
 
 - La zona industrial Lerma reanudó sus operaciones después de que el Gobierno del Estado de México completara los trabajos de desazolve, bombeo y limpieza necesarios para mitigar los efectos de las lluvias.
 
 - La presidenta Claudia Sheinbaum Pardo manifestó su desacuerdo con la decisión de la Corte Suprema de EE.UU. de bloquear la demanda de México contra fabricantes de armas.
 
 - Rusia llevó a cabo un ataque masivo y combinado con 407 drones y 44 misiles contra Kiev y al menos otras nueve regiones de Ucrania, como respuesta a lo que considera acciones terroristas por parte de Ucrania."
2025-06-04 00:00:00,EDO.MEX El Sol de Toluca,Lluvias dejan al menos 30 viviendas con daños,TOLUCA Y METEPEC SOSTIENEN REUNIÓN EMERGENTE.
2025-06-03 00:00:00,De reporteros CDMX (Sitio),"Bebida simbiótica antidiabética a base de aguamiel, diseñan investigadores de la UAM","* La doctora Alma Elizabeth Cruz Guerrero encabeza un equipo que trabaja en la etapa básica del proyecto, que también busca favorecer a productores de agave"
2025-06-03 00:00:00,88.1 Universal,"La calidad del agua en la Ciudad de México, un tema pendiente.","La calidad del agua potable en la Ciudad de México, proveniente principalmente del sistema Cutzamala, Lerma y pozos, enfrenta desafíos. 
 
 Luis Manuel Guerra, presidente del Instituto de Asistencia en Investigaciones Ecológicas, destaca variaciones en la calidad, especialmente en el oriente, con pozos cerrados por incumplimiento de la norma 127 de la Secretaría de Salud. 
 
 Roberto Martín Constantino, de la UAM, señala que la mejora en el abastecimiento de agua ha contribuido a aumentar la esperanza de vida, aunque la calidad sigue siendo un problema, especialmente en pozos profundos. 
 
 Ana Cecilia Espinosa García, de la UNAM, enfatiza la importancia del mantenimiento en hogares para garantizar la calidad del agua. 
 
 Organizaciones exigen monitoreos y mantenimiento de redes de distribución, mientras se recomienda el uso de kits de evaluación de pureza del agua."
2025-06-03 00:00:00,Cobertura 360 (sitio),Lirio acuático invade el río Lerma y amenaza su biodiversidad,"Dañino es el lirio acuático para la flora y fauna del río Lerma en San Mateo Atenco porque su presencia ocasiona que los organismos vivos que ahí habitan, no prosperen, explicó el catedrático de la Universidad Autónoma Metropolitana (UAM), unidad Lerma, Aldo Gómez Benítez."
2025-06-02 00:00:00,La Crónica de Hoy (sitio),Investigadores de la UAM diseñan una bebida simbiótica antidiabética a base de aguamiel,"La doctora Alma Elizabeth Cruz Guerrero encabeza un equipo que trabaja en la etapa básica del proyecto, que también busca favorecer a productores de agave"
2025-06-02 00:00:00,UAM CDMX (Sitio),El Mes de los de Casa; fortaleciendo a la comunidad UAM,Número 321
2025-06-02 00:00:00,Quadratín OAX (Sitio),Diseñan investigadores de la UAM bebida antidiabética a base de aguamiel,"Un grupo de investigación del Departamento de Biotecnología de la Universidad Autónoma Metropolitana (UAM), liderado por la doctora Alma Elizabeth Cruz Guerrero, trabaja en el diseño de una bebida simbiótica a base de aguamiel, con el propósito de favorecer la salud de las personas que padecen diabetes y contribuir a mejorar la economía de productores de agave."
2025-06-02 00:00:00,Periodismo y Ambiente CDMX (sitio),"Pase UAM, muestra de responsabilidad social para contribuir a la equidad educativa","El impulso al Pase UAM da cuenta de la responsabilidad social que tiene la Universidad Autónoma Metropolitana (UAM) para contribuir a mejorar las oportunidades que tiene el alumnado y el egresado de la educación media superior, afirmó la maestra Rosalía Serrano de la Paz, directora de Sistemas Escolares de esta casa de estudios."
2025-06-02 00:00:00,EDO.MEX El Sol de Toluca,Flora y fauna peligra por el lirio acuático,"Aldo Gómez subrayó que aunque hay un plan de saneamiento, existe indiferencia del gobierno."
2025-05-31 00:00:00,TV. Azteca MX (sitio),Prepas con Pase Directo a la UNAM y UAM en 2025: guía completa,"Conoce las prepas que tienen pase directo a la UNAM y UAM en 2025. Revisa requisitos, fechas clave y carreras disponibles. Aquí todos los detalles."
2025-05-29 00:00:00,El Economista (sitio),Pase UAM ¿A qué carreras y planteles podrán acceder los egresados del Colegio de Bachilleres?,"Para el trimestre 2025 Otoño, que inicia en el mes de octubre, la Universidad Autónoma Metropolitana (UAM) recibirá a un mayor número de estudiantes que egresen del Colegio de Bachilleres como parte del programa ""Pase UAM""."
2025-05-29 00:00:00,El Economista,¿A qué carreras y planteles podrán acceder los egresados del Colegio de Bachilleres?,Los estudiantes que no fueran seleccionados por Pase UAM podrán continuar SU proceso de admisión mediante examen.
2025-05-29 00:00:00,TV. Azteca MX (sitio),Pase UAM 2025: Conoce la lista de las carreras con más lugares para los estudiantes,Descubre cuáles son las carreras de la UAM con más lugares para el Pase Directo 2025. Y conoce las fechas claves de este acceso a la educación superior.
2025-05-28 00:00:00,DEPOR Medio Tiempo,¡Atención! Estas dos carreras NO entrarán en el Pase UAM 2025; conoce cuáles puedes elegir,"A pesar de que pueden elegir 57 licenciaturas, los estudiantes de COLBACH que apliquen el Pase UAM 2025 no podrán elegir estas dos carreras por esta razón."
2025-05-27 00:00:00,Noticias MVS (Sitio),Convocatoria UAM 2025: estas son las carreras que NO tienen pase directo de Bachilleres,"La UAM lanzó su convocatoria 2025 con pase directo para alumnos de Bachilleres, pero no todas las carreras participan. Aquí los detalles."
2025-05-27 00:00:00,Infobae América (Sitio),Pase UAM 2025: cuáles son las licenciaturas que no participan en el proceso,Quienes concluyen sexto semestre en el Colegio de Bachilleres podrán acceder a este proceso
2025-05-27 00:00:00,Líder Empresarial AGS (sitio),Magistrados de Circuito: estos son los perfiles en Querétaro (Parte II),"En Querétaro, se podrá votar hasta por ocho magistraturas de circuito. Entre las funciones de estas magistraturas está el revisar las inconformidades contra las decisiones de los juzgados de distrito y los órganos judiciales locales."
2025-05-27 00:00:00,La Lista (sitio),Pase directo UAM 2025: Estas son licenciaturas a las que estudiantes de Bachilleres NO tienen pase directo,"Luego de que se diera a conocer la puesta en marcha del ""Pase UAM 2025"", un acuerdo entre la Universidad Autónoma Metropolitana (UAM) y el Colegio de Bachilleres (Colbach) para que los estudiantes del colegio puedan tener acceso a la Casa de Estudios Superiores, se dieron a conocer las licenciaturas a las que los estudiantes pueden tener acceso."
2025-05-27 00:00:00,La Silla Rota (sitio),Pase UAM: las licenciaturas a las que sí puedes aplicar; este es el promedio que necesitas,"En un país con una creciente necesidad de profesionales calificados, estudiar una carrera universitaria se ha convertido en una meta clave para miles de jóvenes mexicanos. Obtener un título universitario no solo representa una vía para mejorar la calidad de vida, sino también una herramienta para reducir la desigualdad y fomentar el desarrollo económico y social."
2025-05-26 00:00:00,UAM CDMX (Sitio),"Unidad Lerma de la UAM celebra con éxito su Primer Festival Científico, Cultural y Deportivo",Número 305
2025-05-26 00:00:00,Infobae América (Sitio),Pase UAM vs Pase UNAM: en cuál es más difícil ingresar a una carrera sin hacer examen,"Los egresados de CCH, Prepa y Colegio de Bachilleres pueden acceder a una licenciatura con estos procesos, dependiendo el caso"
2025-05-26 00:00:00,La Silla Rota (sitio),Pase UAM: estas son las licenciaturas a las que sí puedes aplicar; este es el promedio que necesitas,"En un país con una creciente necesidad de profesionales calificados, estudiar una carrera universitaria se ha convertido en una meta clave para miles de jóvenes mexicanos. Obtener un título universitario no solo representa una vía para mejorar la calidad de vida, sino también una herramienta para reducir la desigualdad y fomentar el desarrollo económico y social."
2025-05-26 00:00:00,Periodismo y Ambiente CDMX (sitio),Agua limpia para todas y todos: proyectos clave de la UAM,"El agua es un tema prioritario para México por lo que la Universidad Autónoma Metropolitana (UAM) trabaja en intervenciones puntuales para limpiar sitios estratégicos y restaurar la calidad del vital líquido en beneficio de toda la sociedad, con lo cual se aplica el extenso conocimiento y la experiencia de la Institución para enfrentar retos hídricos de gran envergadura."
2025-05-25 00:00:00,TV. Azteca MX (sitio),Pase UAM: Las licenciaturas a las que los Bachilleres que no tienen pase directo en 2025,El Pase UAM 2025 brinda a los Bachilleres una oferta de 57 licenciaturas que se imparten en cuatro planteles sin necesidad de presentar examen de admisión.
2025-05-25 00:00:00,EDO.MEX El Sol de Toluca,Facilita UAM pase directo,Las carreras más demandadas tienen que ver con el área social y las nuevas tecnologías.
2025-05-25 00:00:00,EDO.MEX La Jornada,Afecta contaminación pluvial ríos y drenajes en el Valle de Toluca,"Las lluvias intensas registradas en el Valle de Toluca, han incrementado el arrastre de residuos sólidos, aceites y contaminantes hacia sistemas hídricos."
2025-05-24 00:00:00,Metro Noticias MX (Sitio),Agua limpia para todas y todos: proyectos clave de la UAM,"El agua es un tema prioritario para México por lo que la Universidad Autónoma Metropolitana (UAM) trabaja en intervenciones puntuales para limpiar sitios estratégicos y restaurar la calidad del vital líquido en beneficio de toda la sociedad, con lo cual se aplica el extenso conocimiento y la experiencia de la Institución para enfrentar retos hídricos de gran envergadura."
2025-05-24 00:00:00,Metro,Para embarazo: las rolas,INDAGA EQUIPO DE INVESTIGADORES MEXICANOS SUS EFECTOS.
2025-05-24 00:00:00,TV. Azteca MX (sitio),¿Cuál es el promedio necesario para el Pase UAM 2025? Conoce los requisitos,¿Sabías que puedes ingresar a la UAM sin examen? Conoce el promedio mínimo y los requisitos para estudiantes del Colegio de Bachilleres en 2025.
2025-05-22 00:00:00,CCO Noticias (sitio),La UAM lanza el Pase UAM 2025: ingreso directo para alumnos del Colegio de Bachilleres,"Ciudad de México, 23 de mayo de 2025. Por primera vez, la Universidad Autónoma Metropolitana (UAM) ha implementado el Pase UAM 2025, un programa que permite a estudiantes del Colegio de Bachilleres (Colbach) acceder a 57 licenciaturas sin presentar examen de admisión."
2025-05-22 00:00:00,Generación Universitaria CDMX (sitio),¿Cuál es la carrera que pide mayor promedio para el Pase UAM 2025?,¡Ya empezó! El registro para todos los alumnos del Colegio De Bachilleres que deseen aplicar a una licenciatura en la Universidad Autónoma Metropolitana (UAM) está aquí.
2025-05-22 00:00:00,HGO Plaza Juárez,Agenda educativa // Política educativa alimentaria: Los comedores universitarios (IV),Política educativa alimentaria: Los comedores universitarios (IV).
2025-05-22 00:00:00,Laguna Telediario (Sitio),Pase UAM 2025: Cuál es la licenciatura que pide el mayor promedio y de cuánto es,El Pase UAM es una nueva modalidad realizada entre un convenio entre la Universidad Autónoma Metropolitana y los Colegios de Bachilleres con el objetivo de que más alumnos del nivel medio superior puedan asegurar lugares en la universidad.
2025-05-21 00:00:00,JLA Noticias CDMX (Sitio),UAM abre convocatoria para pase directo a 57 opciones de licenciatura: fechas clave y requisitos,"La Universidad Autónoma Metropolitana lanzó la primera convocatoria de 'Pase UAM', mecanismo a través del cual estudiantes del Colegio de Bachilleres podrán acceder a una oferta de 57 licenciaturas que se imparten en cuatro planteles sin necesidad de presentar examen de admisión."
2025-05-21 00:00:00,Imagen Agropecuaria SLP (Sitio),"Calor en CDMX, fenómeno cada vez más extremo","La ola de calor que se registra actualmente en la Ciudad de México obedece a una combinación de factores; uno de los principales es la circulación anticiclónica, que impide la formación de nubes y atrapa el calor en la atmósfera, generando un ambiente seco y con altos índices de radiación, así como la presencia de masas de aire caliente que se desplazan hacia el norte del país, lo que contribuye a la elevación de las temperaturas, explicó la doctora Fabiola Sagrario Sosa Rodríguez, profesora e investigadora de la Universidad Autónoma Metropolitana (UAM)."
2025-05-21 00:00:00,Chilango (sitio),UAM abre convocatoria para pase directo a 57 opciones de licenciatura: fechas clave y requisitos,"La Universidad Autónoma Metropolitana lanzó la primera convocatoria de 'Pase UAM', mecanismo a través del cual estudiantes del Colegio de Bachilleres podrán acceder a una oferta de 57 licenciaturas que se imparten en cuatro planteles sin necesidad de presentar examen de admisión."
2025-05-21 00:00:00,El Siglo de Torreón (sitio),¿Qué promedio necesitas y cuántos lugares hay por el pase UAM?,"El pasado 17 de mayo, la Universidad Autónoma Metropolitana (UAM), publicó la convocatoria al Segundo Proceso de Selección 2025 para que los aspirantes que hayan concluido el nivel medio superior o equivalente, puedan ingresar a la licenciatura."
2025-05-21 00:00:00,Milenio (sitio),Pase directo UAM 2025: ¿Cuántas carreras hay?,"La Universidad Autónoma Metropolitana (UAM) informó a los estudiantes que van en busca de su pase automático, cuál es el proceso que deberán contemplar para su registro , pero también enlistó las carreras que tiene disponibles para elegir la licenciatura que deseas. En MILENIO te decimos cuáles son."
2025-05-20 00:00:00,Infobae América (Sitio),Pase UAM 2025: esta es la licenciatura que pide mayor promedio,Este mecanismo de admisión comenzará en 2025 con los egresados del Colegio de Bachilleres
2025-05-20 00:00:00,La Razón On line (Sitio),Pase UAM 2025: este promedio pide para el ingreso sin examen de admisión,"La Universidad Autónoma Metropolitana (UAM) ha publicado oficialmente la convocatoria para el Pase UAM 2025, un proceso dirigido exclusivamente a egresados del Colegio de Bachilleres que deseen continuar su formación académica en alguna de las unidades de esta institución. Esta iniciativa busca reconocer el mérito académico de los estudiantes con mejores promedios y facilitar su ingreso a nivel licenciatura."
2025-05-20 00:00:00,De reporteros CDMX (Sitio),Olas de calor en CDMX: un fenómeno cada vez más extremo,* Reforestar y recuperar espacios verdes son claves para mitigar el impacto
