,Fecha,Medio,Título,Resumen,Alcance
1,2025-06-12,Excélsior (Sitio),Marchas y protestas HOY jueves 12 junio CDMX; aquí alternativas viales,"Este jueves 12 de junio se tienen contempladas varias marchas, manifestaciones, protestas y movilizaciones, estas serán a lo largo y ancho de la Ciudad de México por diversos grupos, para evitar contratiempos aquí te dejamos las opciones viales",19300000
2,2025-06-12,Colima Noticias COL (sitio),Participa UdeC en Congreso Internacional de Tecnología Aplicada a la Salud,*Participaron en esta edición más de 350 personas provenientes de 35 instituciones nacionales e internacionales.,315200
3,2025-06-12,Canal 6 TV EDO.MEX (sitio),Video: Académicos de la UAM convocan diálogo en defensa de los derechos laborales de esta casa de estudios,"Académicos de la Universidad Autónoma Metropolitana convocaron al diálogo en la defensa de los derechos laborales, esto de cara a la renovación de la rectoría para atender la agenda laboral académica.",21000
4,2025-06-12,Periodismo y Ambiente CDMX (sitio),Repensando el plástico: educación y acción para un futuro sostenible,"La contaminación plástica se ha convertido en una crisis ambiental de proporciones alarmantes, su impacto se extiende desde los ecosistemas marinos hasta la salud humana, afectando la biodiversidad y alterando procesos naturales esenciales para la vida en el planeta y, a pesar de esfuerzos legislativos y campañas de concienciación, la producción y el consumo de plásticos continúa, lo que exige una respuesta urgente y coordinada a nivel global.",17500
5,2025-06-12,News Report MX (Sitio),Manifestaciones hoy en CDMX 12 de junio del 2025,¡Toma precauciones! Checa dónde y a qué hora habrá Marchas y Manifestaciones hoy en CDMX 12 de junio de 2025,11700
6,2025-06-12,Oye Veracruz VER (sitio),"AL PIE DE LA LETRA - Raymundo Jiménez EN CRISIS, LA SERVIL JG-UV",Raymundo Jiménez,6810
7,2025-06-12,Formato 7 VER (Sitio),"AL PIE DE LA LETRA | En crisis, la servil JG-UV","Aunque su renuncia como miembro de la Junta de Gobierno de la Universidad Veracruzana (JG-UV) la presentó desde tres días antes, la dimisión de la doctora María Angélica Buendía Espinosa apenas trascendió ayer al filtrarse la información al diario La Jornada Veracruz.",80500
8,2025-06-12,Imagen de Veracruz VER (sitio),"En crisis, la servil JG-UV","Aunque su renuncia como miembro de la Junta de Gobierno de la Universidad Veracruzana (JG-UV) la presentó desde tres días antes, la dimisión de la doctora María Angélica Buendía Espinosa apenas trascendió ayer al filtrarse la información al diario La Jornada Veracruz.",101000
9,2025-06-12,Imagen de Veracruz VER (sitio),"El retorno ""porril"" a la UV","El doctor Jorge Manzo Denes, aspirante a la rectoría de la Universidad Veracruzana, por tercera ocasión y en defensa de la misma, dice:",101000
10,2025-06-12,Diario del Istmo VER (sitio),"El retorno ""porril"" a la UV","El doctor Jorge Manzo Denes, aspirante a la rectoría de la Universidad Veracruzana, por tercera ocasión y en defensa de la misma, dice:",15000
