Fecha,Medio,Título,Resumen
2025-06-12,La Crónica de Hoy (sitio),"Nodox 2025: feria de empleos, prácticas y servicio social en UAM Xochimilco",Espacio donde estudiantes y recién egresados puedan dar el primer paso hacia su futuro profesional
2025-06-12,Sociedad Tres Punto 0 (Sitio),"EN CRISIS, LA SERVIL JG-UV",HOY:
2025-06-12,EdoMex 98.9 Súper Stereo Miled,"En entrevista, Manuel de la Pesa, promotor de la Alianza por el Agua en Abundancia, habló sobre la gestión del agua en el Valle de México.","En entrevista, Manuel de la Pesa, promotor de la Alianza por el Agua en Abundancia en el Valle de México, y miembro de la plataforma Ciudades Líquidas, discutió la gestión del agua en la región. 
 
 De la Pesa, quien tiene una formación en comunicología y marketing digital, enfatizó que el Valle de México enfrenta problemas de gestión hídrica, a pesar de recibir abundantes lluvias. Destacó que la infraestructura inadecuada, la falta de inversión y la falta de conciencia histórica han llevado a una pérdida significativa de agua, estimando que la cuenca pierde 30 metros cúbicos por segundo. 
 
 Criticó la estrategia actual de simplemente desaguar el agua en lugar de gestionarla de manera sostenible e integral. Mencionó la importancia de infiltrar el agua de lluvia en los acuíferos y evitar su mezcla con aguas residuales. De la Pesa también subrayó la necesidad de voluntad política y presupuestos adecuados para implementar soluciones efectivas. 
 
 Finalmente, invitó a participar en un evento el 18 de junio en la Universidad Autónoma Metropolitana para discutir estrategias de gestión del agua."
2025-06-12,Imagen de Veracruz VER (sitio),Ante consulta sobre rector Martín Aguilar junta de gobierno UV denuncia intimidación; integrante podría renunciar,"La Junta de Gobierno de la Universidad Veracruzana emitió un comunicado en el que alertó sobre actos de presión e intimidación dirigidos tanto a algunos de sus integrantes como a sus familias por la consulta para determinar si el rector Martín Aguilar se queda en el puesto 4 años más o se retira, una integrante de dicho consejo estaría por renunciar."
2025-06-12,Reforma.com (sitio),"Llaman a proteger chinampas, 'tesoro de México'","La declaratoria capitalina que reconoce como patrimonio biocultural las terrazas agrícolas de las zonas cerriles de Xochimilco, Tláhuac, Milpa Alta e Iztapalapa constituye una responsabilidad, no un premio, advirtió Fernando Chiapa, investigador de la Universidad Autónoma Metropolitana (UAM)."
2025-06-12,La Jornada de Veracruz VER (sitio),"Ante presiones del rector, renuncia otra académica a Junta de Gobierno de UV","La doctora Angélica Buendía, profesora-investigadora de la Universidad Autónoma Metropolitana (UAM) y secretaria de la Unidad Xochimilco, presentó su renuncia a la Junta de Gobierno de la Universidad Veracruzana (UV) hace un par de días, en un claro deslinde del proceder del órgano colegiado, al que señaló como objeto de presiones internas. Su salida se suma a las renuncias previas de los doctores Alfredo Sánchez Castañeda, Hugo Casanova y Erika Maldonado, quienes abandonaron la Junta entre 2023 y 2025, todas durante el actual periodo rectoral de Martín Aguilar Sánchez."
2025-06-12,Oye Veracruz VER (sitio),"AL PIE DE LA LETRA - Raymundo Jiménez EN CRISIS, LA SERVIL JG-UV",Raymundo Jiménez
2025-06-12,Formato 7 VER (Sitio),"AL PIE DE LA LETRA | En crisis, la servil JG-UV","Aunque su renuncia como miembro de la Junta de Gobierno de la Universidad Veracruzana (JG-UV) la presentó desde tres días antes, la dimisión de la doctora María Angélica Buendía Espinosa apenas trascendió ayer al filtrarse la información al diario La Jornada Veracruz."
2025-06-12,Imagen de Veracruz VER (sitio),"En crisis, la servil JG-UV","Aunque su renuncia como miembro de la Junta de Gobierno de la Universidad Veracruzana (JG-UV) la presentó desde tres días antes, la dimisión de la doctora María Angélica Buendía Espinosa apenas trascendió ayer al filtrarse la información al diario La Jornada Veracruz."
2025-06-12,Imagen del Golfo VER (sitio),"En crisis, la servil JG-UV","Aunque su renuncia como miembro de la Junta de Gobierno de la Universidad Veracruzana (JG-UV) la presentó desde tres días antes, la dimisión de la doctora María Angélica Buendía Espinosa apenas trascendió ayer al filtrarse la información al diario La Jornada Veracruz."
